log time,count,spend time
2024-01-03 10:23:30.501000,1,2.148
2024-01-03 10:22:45.517000,1,1.755
2024-01-03 10:42:13.316000,2,4.146
2024-01-03 11:27:55.085000,1,9.089
2024-01-03 10:38:16.955000,1,2.183
2024-01-03 09:49:33.028000,6,12.18
2024-01-03 10:23:27.390000,1,2.589
2024-01-03 10:38:55.517000,1,2.031
2024-01-03 09:49:11.885000,1,42.7
2024-01-03 10:20:36.411000,4,4.672
2024-01-03 10:38:35.530000,1,2.4
2024-01-03 09:49:28.392000,6,4.29
2024-01-03 10:20:25.040000,1,2.313
2024-01-03 10:23:46.948000,1,2.879
2024-01-03 09:50:10.390000,1,3.138
2024-01-03 09:48:57.113000,3,5.079
2024-01-03 10:20:40.381000,4,3.794
2024-01-03 10:23:05.811000,1,2.718
2024-01-03 10:42:31.883000,2,2.637
2024-01-03 10:39:19.284000,1,2.162
2024-01-03 10:23:02.707000,2,3.084
2024-01-03 10:38:37.771000,1,3.598
2024-01-03 10:42:38.217000,2,3.676
2024-01-03 09:49:13.149000,2,3.725
2024-01-03 10:22:28.569000,1,4.619
2024-01-03 11:27:06.901000,1,2.108
2024-01-03 10:38:08.798000,1,2.835
2024-01-03 10:44:03.968000,1,2.342
2024-01-03 10:37:31.172000,1,2.773
2024-01-03 09:50:14.255000,2,2.6
2024-01-03 10:38:15.872000,1,2.156
2024-01-03 10:20:45.548000,2,3.388
2024-01-03 11:26:57.880000,1,3.084
2024-01-03 10:37:31.065000,3,2.693
2024-01-03 10:23:42.528000,2,2.546
2024-01-03 09:49:54.266000,2,5.045
2024-01-03 09:50:29.108000,2,2.788
2024-01-03 11:27:32.710000,3,3.336
2024-01-03 10:22:40.790000,1,2.367
2024-01-03 10:42:39.527000,1,5.917
2024-01-03 10:43:36.655000,1,3.076
2024-01-03 10:42:31.357000,2,2.395
2024-01-03 10:42:19.979000,2,2.341
2024-01-03 09:48:58.831000,1,4.078
2024-01-03 10:23:27.600000,1,2.23
2024-01-03 10:20:21.396000,2,4.42
2024-01-03 10:42:17.500000,1,2.155
2024-01-03 10:42:40.365000,1,3.103
2024-01-03 10:24:07.222000,1,2.897
2024-01-03 10:20:24.102000,4,4.964
2024-01-03 11:27:45.949000,2,1.831
2024-01-03 10:21:04.633000,1,3.722
2024-01-03 09:49:55.129000,3,5.337
2024-01-03 11:27:33.917000,1,4.15
2024-01-03 11:27:13.895000,2,2.43
2024-01-03 10:37:54.599000,1,1.903
2024-01-03 10:22:44.873000,1,2.12
2024-01-03 09:49:57.279000,1,3.533
2024-01-03 10:24:03.254000,1,2.35
2024-01-03 10:42:59.492000,1,2.652
2024-01-03 09:49:43.983000,2,9.902
2024-01-03 10:21:26.451000,3,4.628
2024-01-03 10:20:42.099000,1,2.028
2024-01-03 10:42:29.954000,1,3.734
2024-01-03 10:38:36.370000,2,2.634
2024-01-03 10:22:30.163000,4,5.123
2024-01-03 10:23:04.544000,2,2.224
2024-01-03 10:21:06.681000,1,2.694
2024-01-03 10:42:33.302000,1,3.833
2024-01-03 10:37:31.285000,1,2.308
2024-01-03 10:37:48.280000,1,3.463
2024-01-03 11:27:33.353000,2,2.557
2024-01-03 10:22:59.380000,2,4.099
2024-01-03 10:38:37.229000,1,2.197
2024-01-03 10:20:44.781000,2,2.361
2024-01-03 10:38:36.586000,1,1.936
2024-01-03 10:24:19.913000,1,2.506
2024-01-03 10:42:50.467000,1,2.602
2024-01-03 10:20:07.643000,3,2.887
2024-01-03 10:23:31.915000,1,2.71
2024-01-03 11:27:27.661000,1,2.284
2024-01-03 10:43:14.190000,2,2.468
2024-01-03 10:20:39.421000,2,5.055
2024-01-03 10:23:00.661000,1,2.779
2024-01-03 09:49:58.991000,5,4.367
2024-01-03 11:27:31.955000,1,2.271
2024-01-03 10:21:45.276000,2,2.513
2024-01-03 10:20:23,2,2.734
2024-01-03 10:23:00.553000,4,4.151
2024-01-03 09:50:01.037000,1,5.422
2024-01-03 10:21:46.472000,1,2.479
2024-01-03 10:42:15.902000,1,2.664
2024-01-03 09:49:44.186000,2,5.519
2024-01-03 11:27:12.505000,1,3.392
2024-01-03 10:22:58.948000,1,2.411
2024-01-03 10:42:38.855000,1,2.079
2024-01-03 10:20:37.383000,1,3.386
2024-01-03 10:42:39.295000,1,3.88
2024-01-03 09:50:14.811000,2,3.57
2024-01-03 10:37:56.757000,1,2.321
2024-01-03 10:20:41.455000,3,2.337
2024-01-03 10:37:47.203000,1,4.81
2024-01-03 09:50:30.283000,1,2.011
2024-01-03 10:20:57.425000,2,4.944
2024-01-03 11:27:46.151000,1,2.263
2024-01-03 10:43:00.667000,3,3.032
2024-01-03 11:27:09.911000,1,3.063
2024-01-03 09:49:29.565000,2,3.804
2024-01-03 10:20:39.526000,2,4.112
2024-01-03 09:50:32.222000,1,2.345
2024-01-03 10:21:05.805000,1,2.892
2024-01-03 10:37:18.087000,1,1.903
2024-01-03 11:27:43.463000,1,2.644
2024-01-03 09:49:09.376000,1,4.646
2024-01-03 10:22:30.374000,1,2.221
2024-01-03 10:38:54.451000,1,2.105
2024-01-03 11:27:45.399000,2,2.442
2024-01-03 10:20:36.950000,4,3.81
2024-01-03 10:23:06.561000,1,1.906
2024-01-03 09:51:00.566000,2,3.765
2024-01-03 09:49:31.392000,2,4.971
2024-01-03 10:20:23.755000,3,3.693
2024-01-03 10:42:34.578000,1,2.284
2024-01-03 10:39:18.529000,2,2.839
2024-01-03 10:20:20.977000,1,2.138
2024-01-03 10:24:32.246000,1,3.449
2024-01-03 10:20:07.537000,3,3.128
2024-01-03 10:37:54.385000,3,2.613
2024-01-03 10:37:36.332000,2,2.509
2024-01-03 10:42:01.596000,2,2.255
2024-01-03 10:42:18.787000,3,2.459
2024-01-03 11:27:35.102000,1,3.32
2024-01-03 09:49:08.835000,1,2.75
2024-01-03 10:23:02.603000,1,3.816
2024-01-03 09:49:13.257000,4,5.394
2024-01-03 09:49:56.845000,2,2.788
2024-01-03 10:23:04.421000,1,2.456
2024-01-03 10:22:48.541000,1,3.192
2024-01-03 10:37:36.665000,2,3.415
2024-01-03 10:23:19.016000,2,3.254
2024-01-03 11:27:24.864000,1,2.116
2024-01-03 09:50:46.592000,2,3.339
2024-01-03 10:42:59.295000,1,8.444
2024-01-03 10:20:38.235000,3,2.435
2024-01-03 10:38:17.591000,1,3.124
2024-01-03 09:49:56.958000,1,2.679
2024-01-03 10:38:08.570000,1,4.123
2024-01-03 09:49:31.943000,5,6.22
2024-01-03 10:38:56.591000,1,2.578
2024-01-03 09:48:57.662000,1,2.727
2024-01-03 11:27:07.551000,3,2.383
2024-01-03 11:27:11.539000,1,3.023
2024-01-03 10:20:39.093000,2,2.628
2024-01-03 10:21:42.916000,2,2.536
2024-01-03 09:49:11.431000,1,4.588
2024-01-03 09:48:56.470000,2,9.793
2024-01-03 10:43:39.874000,1,2.0
2024-01-03 10:37:34.184000,1,2.936
2024-01-03 09:49:13.566000,3,9.4
2024-01-03 10:42:32.526000,3,2.768
2024-01-03 10:20:36.307000,1,3.181
2024-01-03 11:27:44.754000,1,2.037
2024-01-03 10:23:19.345000,2,3.882
2024-01-03 10:37:57.821000,1,3.692
2024-01-03 10:23:28.691000,1,2.093
2024-01-03 10:22:42.076000,1,1.825
2024-01-03 10:20:42.531000,5,3.492
2024-01-03 10:22:42.511000,1,2.609
2024-01-03 09:49:55.454000,1,2.301
2024-01-03 10:21:06.773000,1,2.044
2024-01-03 10:38:08.675000,1,3.478
2024-01-03 10:42:36.197000,2,3.811
2024-01-03 10:23:28.890000,1,2.114
2024-01-03 10:21:25.046000,1,3.141
2024-01-03 10:22:59.923000,2,3.309
2024-01-03 09:49:12.395000,1,3.619
2024-01-03 10:37:35.256000,2,2.279
2024-01-03 09:49:53.301000,1,5.651
2024-01-03 10:21:39.264000,2,3.648
2024-01-03 10:23:01.225000,1,3.334
2024-01-03 09:48:57.226000,1,9.144
2024-01-03 09:49:08.406000,5,8.991
2024-01-03 10:37:35.169000,2,2.849
2024-01-03 10:42:58.738000,1,1.919
2024-01-03 11:27:45.505000,1,2.626
2024-01-03 09:50:34.032000,2,5.995
2024-01-03 10:37:37.199000,2,3.995
2024-01-03 10:38:08.240000,3,3.985
2024-01-03 10:24:33.115000,1,3.636
2024-01-03 09:49:45.256000,3,4.179
2024-01-03 09:49:26.581000,3,7.799
2024-01-03 10:42:12.015000,1,2.345
2024-01-03 09:48:55.501000,2,11.01
2024-01-03 10:20:24.611000,4,2.561
2024-01-03 10:20:18.384000,2,2.885
2024-01-03 10:42:49.515000,1,2.886
2024-01-03 10:44:03.536000,1,2.003
2024-01-03 09:49:55.776000,1,2.943
2024-01-03 10:37:20.551000,2,2.316
2024-01-03 10:20:56.248000,1,2.272
2024-01-03 10:22:46.289000,1,3.201
2024-01-03 10:20:46.823000,2,4.053
2024-01-03 10:37:37.749000,2,3.624
2024-01-03 11:27:47.332000,1,2.298
2024-01-03 10:20:26.552000,2,4.283
2024-01-03 10:20:23.429000,3,2.99
2024-01-03 10:37:49.885000,2,2.635
2024-01-03 10:39:09.495000,1,2.217
2024-01-03 10:20:21.184000,2,6.986
2024-01-03 10:20:35.663000,2,2.403
2024-01-03 10:42:13.759000,1,3.313
2024-01-03 10:42:31.675000,1,3.424
2024-01-03 09:50:59.907000,2,3.505
2024-01-03 10:37:32.248000,2,2.973
2024-01-03 10:42:14.601000,1,3.535
2024-01-03 10:42:52.731000,4,3.041
2024-01-03 10:42:00.203000,1,2.319
2024-01-03 11:27:13.570000,2,2.681
2024-01-03 10:20:06.463000,3,3.267
2024-01-03 10:42:00.110000,1,1.98
2024-01-03 10:42:02.994000,2,3.843
2024-01-03 10:42:00.849000,2,2.505
2024-01-03 10:21:06.034000,2,2.718
2024-01-03 10:20:43.388000,2,2.226
2024-01-03 09:49:48.144000,2,2.801
2024-01-03 10:37:35.369000,1,3.015
2024-01-03 10:38:09.747000,2,3.237
2024-01-03 11:27:31.649000,3,2.118
2024-01-03 10:38:30.996000,1,2.995
2024-01-03 10:42:49.086000,1,2.892
2024-01-03 10:20:44.463000,5,2.856
2024-01-03 10:22:46.381000,2,2.547
2024-01-03 10:38:17.370000,1,2.044
2024-01-03 11:27:08.946000,1,2.817
2024-01-03 10:21:46.671000,1,2.183
2024-01-03 10:20:40.827000,2,2.953
2024-01-03 09:49:47.392000,3,4.284
2024-01-03 09:50:33.190000,1,4.257
2024-01-03 10:42:50.691000,1,1.907
2024-01-03 10:42:18.677000,1,2.158
2024-01-03 10:42:00.746000,1,2.574
2024-01-03 10:37:48.927000,2,2.314
2024-01-03 09:49:26.676000,6,9.426
2024-01-03 10:20:18.061000,4,2.839
2024-01-03 10:20:06.568000,1,2.83
2024-01-03 10:20:07.980000,5,3.457
2024-01-03 10:22:57.884000,1,2.411
2024-01-03 10:20:45.755000,2,2.688
2024-01-03 10:43:38.478000,1,1.986
2024-01-03 10:21:20.316000,5,4.171
2024-01-03 09:49:13.686000,1,3.53
2024-01-03 10:24:20.004000,1,1.68
2024-01-03 10:21:39.585000,1,2.072
2024-01-03 10:43:18.081000,1,3.053
2024-01-03 09:49:10.015000,2,3.578
2024-01-03 10:42:32.961000,1,2.404
2024-01-03 10:20:44.899000,1,3.07
2024-01-03 09:48:56.897000,2,4.962
2024-01-03 10:22:45.406000,2,2.886
2024-01-03 10:23:07.220000,1,1.669
2024-01-03 10:42:33.813000,1,2.401
2024-01-03 09:48:57.864000,1,4.839
2024-01-03 09:49:47.067000,5,4.503
2024-01-03 09:49:29.462000,2,14.39
2024-01-03 10:23:17.729000,1,2.465
2024-01-03 10:42:48.654000,1,3.319
2024-01-03 10:37:47.753000,1,3.387
2024-01-03 10:22:41.333000,1,3.275
2024-01-03 10:21:39.926000,2,4.024
2024-01-03 09:49:57.600000,1,2.38
2024-01-03 11:27:28.756000,2,4.423
2024-01-03 10:21:07.733000,1,2.811
2024-01-03 10:20:20.866000,2,3.496
2024-01-03 11:27:08.091000,3,4.533
2024-01-03 10:38:33.058000,1,4.196
2024-01-03 10:22:44.359000,1,2.427
2024-01-03 10:22:28.657000,3,3.674
2024-01-03 10:24:28.694000,1,2.348
2024-01-03 10:38:08.138000,2,4.086
2024-01-03 09:49:35.379000,2,2.798
2024-01-03 09:49:55.020000,2,3.995
2024-01-03 10:23:01.003000,1,3.584
2024-01-03 11:27:27.337000,1,2.625
2024-01-03 09:49:13.349000,1,4.535
2024-01-03 09:49:35.905000,2,2.746
2024-01-03 10:42:31.995000,3,4.03
2024-01-03 10:42:31.573000,3,3.037
2024-01-03 10:22:47.995000,1,3.025
2024-01-03 10:23:18.705000,1,2.009
2024-01-03 09:49:55.558000,1,3.688
2024-01-03 10:42:00.326000,2,2.121
2024-01-03 09:49:13.780000,2,2.702
2024-01-03 10:22:41.978000,4,6.113
2024-01-03 10:20:24.724000,2,3.077
2024-01-03 09:50:09.435000,5,3.5
2024-01-03 10:43:50.519000,1,2.123
2024-01-03 10:42:36.600000,2,2.421
2024-01-03 11:26:56.924000,1,2.213
2024-01-03 10:37:54.065000,2,2.691
2024-01-03 11:26:56.802000,1,1.681
2024-01-03 10:21:07.967000,1,2.803
2024-01-03 09:50:47.022000,2,44.83
2024-01-03 09:49:31.728000,5,9.857
2024-01-03 10:21:05.159000,3,2.655
2024-01-03 11:27:24.433000,1,2.918
2024-01-03 09:49:09.811000,1,6.602
2024-01-03 10:42:36.830000,2,2.915
2024-01-03 11:27:11.217000,1,2.206
2024-01-03 11:27:45.620000,1,3.246
2024-01-03 09:49:57.061000,1,2.713
2024-01-03 10:20:39.633000,2,3.005
2024-01-03 10:22:46.602000,3,4.366
2024-01-03 10:42:01.933000,2,3.718
2024-01-03 10:21:22.260000,1,3.358
2024-01-03 10:20:46.294000,2,2.598
2024-01-03 10:20:37.276000,2,4.072
2024-01-03 10:22:39.827000,1,1.989
2024-01-03 10:38:31.859000,2,4.802
2024-01-03 10:20:08.725000,1,2.133
2024-01-03 10:42:02.351000,1,3.04
2024-01-03 10:20:39.954000,1,2.635
2024-01-03 10:20:41.139000,3,6.056
2024-01-03 09:49:27.861000,7,7.475
2024-01-03 10:42:34.455000,1,2.027
2024-01-03 09:49:28.822000,7,5.058
2024-01-03 09:49:46.532000,7,5.458
2024-01-03 11:26:55.080000,1,2.465
2024-01-03 10:20:06.998000,3,3.602
2024-01-03 10:20:38.025000,8,4.664
2024-01-03 10:42:33.064000,3,2.83
2024-01-03 09:49:27.104000,3,8.291
2024-01-03 09:49:34.305000,2,4.739
2024-01-03 10:21:39.692000,1,2.28
2024-01-03 10:38:54.226000,1,2.632
2024-01-03 10:42:31.021000,1,2.006
2024-01-03 09:49:58.881000,1,2.608
2024-01-03 10:38:07.184000,2,3.979
2024-01-03 10:24:01.965000,3,4.008
2024-01-03 09:49:15.396000,2,5.807
2024-01-03 10:37:49.356000,1,1.604
2024-01-03 11:27:53.481000,1,2.444
2024-01-03 10:22:29.100000,1,1.769
2024-01-03 11:26:56.052000,1,3.149
2024-01-03 10:21:09.239000,1,2.128
2024-01-03 10:42:37.139000,2,2.327
2024-01-03 10:20:44.139000,4,3.2
2024-01-03 11:27:06.472000,1,3.225
2024-01-03 10:20:44.996000,3,3.899
2024-01-03 10:20:41.993000,3,3.399
2024-01-03 10:42:12.244000,1,2.863
2024-01-03 09:49:30.102000,1,3.174
2024-01-03 09:49:32.359000,1,4.414
2024-01-03 11:27:28.210000,3,2.934
2024-01-03 10:22:58.841000,2,2.483
2024-01-03 11:27:47.680000,1,3.401
2024-01-03 10:43:50.751000,1,2.122
2024-01-03 09:49:08.193000,3,7.848
2024-01-03 11:27:54,1,2.733
2024-01-03 10:42:02.135000,2,3.463
2024-01-03 09:49:15.496000,3,4.751
2024-01-03 10:42:39.076000,1,2.883
2024-01-03 11:27:43.999000,1,2.131
2024-01-03 09:49:13.460000,5,10.47
2024-01-03 10:23:18.153000,1,2.129
2024-01-03 10:20:25.363000,1,2.149
2024-01-03 10:20:24.190000,2,21.75
2024-01-03 10:20:22.893000,1,2.01
2024-01-03 10:43:33.125000,1,2.934
2024-01-03 09:49:29.246000,1,6.053
2024-01-03 09:49:12.597000,2,4.878
2024-01-03 10:23:05.385000,1,2.972
2024-01-03 09:50:28.555000,5,4.973
2024-01-03 09:49:30.545000,2,4.405
2024-01-03 11:27:14.446000,1,2.418
2024-01-03 10:43:32.142000,2,2.3
2024-01-03 10:21:43.883000,2,2.303
2024-01-03 11:27:47.548000,2,2.466
2024-01-03 10:23:31.170000,1,2.584
2024-01-03 10:20:55.173000,2,1.887
2024-01-03 10:23:05.505000,1,2.443
2024-01-03 10:22:47.673000,2,2.232
2024-01-03 10:23:06.135000,2,3.312
2024-01-03 10:20:43.605000,2,3.778
2024-01-03 10:23:06.352000,1,3.092
2024-01-03 09:49:27.223000,6,4.422
2024-01-03 09:49:45.672000,1,4.858
2024-01-03 09:49:55.667000,5,3.989
2024-01-03 11:27:08.516000,1,2.393
2024-01-03 10:43:32.252000,1,1.911
2024-01-03 10:20:26.223000,4,3.042
2024-01-03 10:23:17.192000,1,1.785
2024-01-03 09:49:46.103000,3,5.57
2024-01-03 10:37:36.227000,1,2.348
2024-01-03 11:27:07.779000,1,2.129
2024-01-03 09:49:54.587000,1,3.525
2024-01-03 10:20:39.313000,4,4.284
2024-01-03 10:21:38.303000,3,3.12
2024-01-03 09:49:54.500000,2,6.442
2024-01-03 10:38:18.454000,1,2.759
2024-01-03 09:49:34.507000,2,4.074
2024-01-03 10:24:29.457000,1,2.313
2024-01-03 09:50:34.140000,1,3.013
2024-01-03 10:22:47.478000,1,9.481
2024-01-03 10:22:58.530000,1,2.012
2024-01-03 11:27:34.215000,1,2.191
2024-01-03 10:23:27.943000,1,3.039
2024-01-03 10:23:19.568000,3,3.433
2024-01-03 10:42:12.789000,1,2.069
2024-01-03 10:20:41.579000,1,2.186
2024-01-03 10:42:13.522000,3,2.975
2024-01-03 10:38:19.297000,2,2.446
2024-01-03 11:27:13.801000,1,3.206
2024-01-03 09:49:33.545000,4,7.694
2024-01-03 10:24:08.206000,1,3.534
2024-01-03 10:42:30.054000,1,2.285
2024-01-03 10:20:57.968000,2,3.422
2024-01-03 09:48:57.434000,4,5.833
2024-01-03 10:22:30.699000,2,2.739
2024-01-03 11:27:08.852000,1,2.407
2024-01-03 10:20:25.686000,4,2.904
2024-01-03 09:49:30.423000,1,6.927
2024-01-03 10:23:29.763000,1,2.592
2024-01-03 10:42:37.788000,1,2.4
2024-01-03 09:49:12.934000,2,2.966
2024-01-03 10:22:29.191000,3,2.525
2024-01-03 10:39:19.934000,1,2.831
2024-01-03 09:49:06.901000,1,4.831
2024-01-03 10:37:20.660000,1,2.835
2024-01-03 10:37:31.501000,2,3.295
2024-01-03 10:38:06.644000,1,1.995
2024-01-03 10:37:34.614000,2,2.333
2024-01-03 09:49:25.599000,5,13.27
2024-01-03 11:27:29.822000,2,2.35
2024-01-03 10:42:51.433000,2,3.239
2024-01-03 10:39:21.755000,1,2.717
2024-01-03 10:37:18.407000,1,2.196
2024-01-03 11:27:54.856000,1,2.278
2024-01-03 10:42:19.227000,1,2.172
2024-01-03 11:27:31.548000,2,2.413
2024-01-03 10:37:52.791000,1,2.99
2024-01-03 10:21:08.290000,1,8.305
2024-01-03 10:39:10.028000,1,2.092
2024-01-03 11:27:12.836000,4,3.652
2024-01-03 10:37:56.530000,1,3.107
2024-01-03 09:49:56.326000,3,3.347
2024-01-03 10:38:56.039000,1,2.107
2024-01-03 10:37:17.655000,2,2.523
2024-01-03 10:38:10.290000,2,3.563
2024-01-03 09:48:55.732000,5,14.03
2024-01-03 10:23:02.181000,5,3.4
2024-01-03 09:49:53.727000,1,4.551
2024-01-03 09:49:44.813000,1,4.179
2024-01-03 09:49:47.932000,3,3.819
2024-01-03 11:27:09.275000,1,3.071
2024-01-03 10:23:17.955000,1,2.408
