WS,first time,last time,duration (s),count,fps
WS name,2024-01-03 11:26:54.973000,2024-01-03 11:27:54.214000,59.241,203,3.409800644823686

total,2024-01-03 11:26:54.973000,2024-01-03 11:27:54.214000,59.241,203,3.409800644823686
