door open time,door open count
11:26:55,4
11:26:56,2
11:27:6,1
11:27:7,4
11:27:8,2
11:27:10,1
11:27:11,3
11:27:12,2
11:27:13,2
11:27:24,1
11:27:25,3
11:27:26,3
11:27:27,1
11:27:28,1
11:27:29,1
11:27:30,2
11:27:31,4
11:27:32,2
11:27:33,1
11:27:43,2
11:27:44,2
11:27:45,1
11:27:54,2
