WS,Total amount,Avg. (s),Max. (s),0~2 s,2~5 s,5~10 s,>=10 s
WS name,47,0.548,0.814,47,0,0,0

WS,Total amount,Merged / Not confident,Avg. (ms),Max. (ms),<100 ms,100~200 ms,200~500 ms,>500 ms
WS name,47,47,0,0,0,0,0,0

WS,Total amount,Avg. (ms),Max. (ms),<100 ms,100~1000 ms,1~2 s,2~5 s,>5 s
WS name,47,0,0,0,0,0,0,0

