recordId,frame time,create duration
344,2024-01-03 11:26:55.080000,601
345,2024-01-03 11:26:55.082000,603
346,2024-01-03 11:26:55.202000,538
347,2024-01-03 11:26:55.295000,565
348,2024-01-03 11:26:56.052000,597
,2024-01-03 11:26:56.801000,662
349,2024-01-03 11:27:06.579000,530
350,2024-01-03 11:27:07.011000,497
351,2024-01-03 11:27:07.134000,620
352,2024-01-03 11:27:07.134000,432
353,2024-01-03 11:27:07.443000,560
,2024-01-03 11:27:08.410000,537
,2024-01-03 11:27:08.730000,640
354,2024-01-03 11:27:10.771000,435
355,2024-01-03 11:27:11.638000,575
356,2024-01-03 11:27:11.847000,519
357,2024-01-03 11:27:11.862000,596
358,2024-01-03 11:27:12.278000,528
359,2024-01-03 11:27:12.931000,454
360,2024-01-03 11:27:13.140000,462
361,2024-01-03 11:27:13.159000,481
362,2024-01-03 11:27:24.556000,654
363,2024-01-03 11:27:25.293000,650
364,2024-01-03 11:27:25.402000,340
365,2024-01-03 11:27:25.403000,341
366,2024-01-03 11:27:26.269000,527
367,2024-01-03 11:27:26.798000,545
368,2024-01-03 11:27:26.904000,651
369,2024-01-03 11:27:27.228000,556
370,2024-01-03 11:27:28.305000,430
371,2024-01-03 11:27:29.703000,622
372,2024-01-03 11:27:30.023000,574
373,2024-01-03 11:27:30.023000,377
374,2024-01-03 11:27:31.096000,458
375,2024-01-03 11:27:31.742000,467
376,2024-01-03 11:27:31.742000,683
377,2024-01-03 11:27:31.743000,468
378,2024-01-03 11:27:32.067000,437
379,2024-01-03 11:27:32.603000,494
380,2024-01-03 11:27:33.039000,560
381,2024-01-03 11:27:43.586000,539
382,2024-01-03 11:27:43.893000,615
383,2024-01-03 11:27:44.869000,814
384,2024-01-03 11:27:44.972000,622
385,2024-01-03 11:27:45.620000,734
,2024-01-03 11:27:54,534
,2024-01-03 11:27:54.327000,650
